fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
31730,-33,-45,127794,130732,125214,127103,1
31731,-28,-20,134774,134134,132721,132616,1
31732,-12,-19,137742,137746,135662,134465,1
31733,-38,-27,128552,128796,126310,127104,1
31734,-27,-26,140366,140362,138201,137304,1
31735,-13,-17,140982,141192,138871,139917,1
31736,-24,-14,158424,166062,151966,153842,1
31737,-37,-34,170778,165094,160466,159300,1
31738,-30,-32,154918,155568,149845,150833,1
31739,-46,-40,155762,155942,147354,148244,1
31740,-42,-53,135530,135212,133340,132398,1
31741,-32,-19,122538,122146,121331,121234,1
31742,-25,-25,134366,134238,132429,132562,1
31743,-34,-32,132798,137426,130267,132007,1
31744,-40,-25,164880,164994,155928,153568,1
31745,-33,-43,140616,139224,138737,136227,1
31746,-33,-27,142012,141506,138800,139319,1
31747,-69,-40,126654,125314,123650,123278,1
31748,-50,-39,131842,133018,129780,131050,1
31749,-26,-18,125718,124384,123937,122706,1
31750,-29,-36,148782,146678,146316,143882,1
31751,-30,-30,136080,140136,134059,134656,1
31752,-36,-40,151142,152432,146216,145530,1
31753,-37,-41,138808,140548,137046,138834,1
31754,-34,-44,157864,158724,154887,150686,1
31755,-24,-24,149476,150904,147437,148558,1
31756,-26,-30,160026,160552,155199,153827,1
31757,-16,-27,144042,141464,138238,138412,1
31758,-42,-35,171060,167654,163012,164163,1
31759,-43,-39,140798,142662,138076,139380,1
31760,-42,-36,150244,148794,137653,136364,1
31761,-19,-15,137828,137794,135282,135820,1
31762,-41,-43,136306,137278,134422,135811,1
31763,-36,-25,145736,145874,142504,141926,1
31764,-21,-23,132644,131776,131149,129632,1
31766,-43,-39,153020,153934,150618,151140,1
31767,-31,-37,137432,137726,135822,135651,1
