fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
S_fi_040,-15,-21,148938,152356,147447,150645,
S_fi_042,-14,-16,122642,126314,121133,124560,
S_fi_043,-17,-11,141948,143902,140331,142158,
S_fi_044,-19,-17,125026,125578,124038,124025,
S_fi_045,-40,-24,153596,155946,151563,154387,
S_fi_047,-33,-11,157032,160502,153774,157913,
S_fi_048,-16,-9,112816,113458,111670,112766,
S_fi_049,-12,-26,141758,143980,140773,143138,
S_fi_050,-25,-13,124056,127152,121991,125732,
S_fi_051,-19,-18,136122,137418,134459,135874,
S_fi_052,-29,-20,142362,143328,139721,142397,
S_fi_053,-14,-12,154934,156680,152518,155651,
S_fi_054,-31,-27,146590,147568,143143,145351,
