"Am_LABEL","beta","pval","tau^2","R^2","I^2","p_fdr"
"rh_bankssts_thickness","0.0119350343120857","0.202139177992531","0.00067054523483819","2.18194292255155","28.101312099529","0.524331788749282"
"rh_caudalanteriorcingulate_thickness","0.0364109143468605","0.00122056492817101","0.00059885658472631","30.704009774593","16.8937165196377","0.0414992075578143"
"rh_caudalmiddlefrontal_thickness","-0.00325907941068989","0.692790980104952","0.000670388541958888","0","38.2818465728362","0.811986079684012"
"rh_cuneus_thickness","0.0033401931213119","0.621299923798484","0.000165641483952045","0","13.18722099894","0.768579907811958"
"rh_entorhinal_thickness","-0.00386971231042873","0.827679598037855","0.0019394872299153","0","21.5454097311642","0.857876340647912"
"rh_fusiform_thickness","0.0135091756118279","0.0385692037298546","0.000268840012234691","16.2292161949739","22.8403082942508","0.218558821135842"
"rh_inferiorparietal_thickness","0.00865006693605841","0.230234269813414","0.000616805000876005","6.03370453002224","43.4408022372693","0.539859667148696"
"rh_inferiortemporal_thickness","0.00840119748344962","0.279822759380201","0.000507523950335313","0","31.7306354851717","0.559645518760401"
"rh_isthmuscingulate_thickness","-0.0011488712369335","0.927158433229939","0.00161766717319021","0","42.9911719729001","0.927158433229939"
"rh_lateraloccipital_thickness","0.0169384295393918","0.00684315405593319","0.000284918465206009","22.4097809919506","25.9764539072437","0.107011849376364"
"rh_lateralorbitofrontal_thickness","0.0193317085912392","0.00786851833649733","0.000309739967363219","17.4789315957926","20.1074905077831","0.107011849376364"
"rh_lingual_thickness","0.00421847411714144","0.551007006458233","0.000420398648874719","0","32.3187492528263","0.76466278447265"
"rh_medialorbitofrontal_thickness","0.0289378452705722","0.000195740468143407","0.000349678222129446","28.4295133945784","20.9160281231596","0.0133103518337517"
"rh_middletemporal_thickness","0.0119298350837947","0.149175934041625","0.000700195988569364","1.17353627108551","38.7952891283219","0.441041891949153"
"rh_parahippocampal_thickness","0.0172983191354184","0.246372276091646","0.00246521010285259","0.811471942069915","40.2547967256806","0.540429508846191"
"rh_paracentral_thickness","0.00460230314060993","0.522990468206643","0.000304859326924053","0","20.2864412461007","0.756667060384079"
"rh_parsopercularis_thickness","0.00217366855323232","0.769665766081045","0.000342474780711903","0","22.2350339293247","0.844749581593639"
