fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
25783,-38,-29,145446,145266,142982,142989,1
25784,-54,-40,140674,138786,131872,137370,1
25785,-31,-20,121480,118476,119694,116828,1
25786,-40,-38,152824,155060,142916,144791,1
25787,-26,-37,142814,144116,140095,141759,1
25788,-52,-48,139576,140002,137326,137997,1
25794,-44,-44,113752,114044,111092,111488,1
25795,-78,-63,136352,141150,132910,135360,1
25796,-53,-59,134638,136374,128005,128398,1
25797,-21,-22,150236,152796,147740,148640,1
25798,-48,-29,161754,163504,158787,161760,1
25799,-29,-36,144066,141352,136152,136663,1
25800,-43,-33,166440,162790,149348,152623,1
25802,-49,-52,175256,173876,170996,171020,1
25803,-28,-18,134474,133670,131424,132533,1
25804,-54,-60,141680,142692,138646,139058,1
25805,-40,-36,157330,155698,147922,150391,1
25806,-43,-40,161364,161548,156430,157568,1
25807,-34,-28,129074,129962,127094,128606,1
25808,-14,-19,165220,166038,162422,164125,1
25809,-31,-44,143532,138206,133408,136123,1
25811,-44,-34,130514,129608,128452,127464,1
25812,-42,-38,122508,123822,120172,121140,1
25813,-32,-34,159808,160798,157819,158355,1
25814,-48,-39,145354,146266,142152,142636,1
25815,-25,-36,163284,171980,158203,161698,1
25816,-39,-30,146692,147286,144071,144231,1
25817,-36,-33,143668,147062,140801,141243,1
25818,-42,-38,142918,141014,134077,134527,1
25819,-28,-33,159404,159926,156982,156722,1
25820,-35,-43,126306,126112,123064,122708,1
25821,-23,-21,123334,124964,121982,123572,1
25822,-43,-35,134342,135026,132321,132941,1
25824,-48,-43,148688,148498,145706,146574,1
25825,-41,-23,138204,138198,127287,126380,1
25826,-31,-24,135472,135326,132811,133498,1
25827,-50,-59,145430,146972,142638,143775,1
25828,-36,-37,159756,159548,150447,149032,1
25829,-49,-56,153978,156846,150971,152968,1
25830,-23,-23,169858,166244,166619,163682,1
25831,-23,-37,151628,156310,149591,150029,1
25833,-33,-49,148554,150064,145343,146038,1
25834,-25,-23,163746,163468,161287,161377,1
25835,-44,-48,163958,162796,161818,160650,1
25836,-57,-34,131154,128706,128174,127243,1
25837,-34,-32,157444,159462,151645,151077,1
25838,-41,-48,163046,161416,158957,157361,1
25839,-43,-55,126182,123702,123459,121280,1
25841,-29,-37,139062,140110,137522,138547,1
25842,-26,-33,129882,129264,128229,124718,1
25843,-25,-35,133858,133302,130887,130650,1
25844,-40,-49,140490,141370,138972,138081,1
25845,-37,-42,135118,136096,133415,133401,1
25846,-21,-24,132216,132706,127645,129673,1
25847,-15,-18,129462,132858,127473,130154,1
25848,-44,-52,130524,123318,122532,120574,1
25849,-29,-27,119730,120338,117656,118897,1
25850,-29,-28,122726,121450,121523,120049,1
25851,-24,-31,135718,135068,132568,132496,1
25852,-26,-36,158966,160312,157163,157547,1
25853,-19,-20,135600,136976,134317,134464,1
25854,-27,-29,142956,142338,141104,139215,1
25855,-38,-36,163044,161950,159570,158783,1
25856,-37,-41,159546,156042,155420,153702,1
25858,-57,-41,146936,153992,141571,144319,1
25860,-61,-54,133232,133434,130342,130457,1
25861,-72,-66,140294,141776,138136,139661,1
25862,-36,-35,158686,159628,156442,156579,1
25863,-49,-35,136116,135744,133284,133985,1
30699,NaN,NaN,NaN,NaN,NaN,NaN,3
30700,NaN,NaN,NaN,NaN,NaN,NaN,3
30701,NaN,NaN,NaN,NaN,NaN,NaN,3
30702,-65,-66,138618,145234,135831,135362,1
30703,-48,-41,141318,140354,136318,137015,1
30704,-46,-48,150538,151456,148005,149146,1
30705,-52,-39,157628,156928,154753,154140,1
30706,-57,-40,143928,141494,136558,136685,1
30707,-96,-95,149646,151708,144798,148073,1
30708,-63,-56,164822,167288,161503,163255,1
30709,-46,-47,124240,122698,121338,120459,1
30710,-46,-45,131832,133438,130352,130833,1
30711,-40,-60,144568,144686,142831,142119,1
30712,-52,-53,160660,163742,158000,160814,1
30714,-43,-38,131144,130446,129403,128238,1
30715,-48,-47,155048,162406,151509,154330,1
30716,-120,-113,177890,178182,164148,167165,1
30717,-66,-69,137656,138254,133830,135073,1
30718,-49,-54,161720,164020,151707,149881,1
30719,-35,-33,131540,131678,130299,130315,1
30720,-44,-51,143338,144154,141636,141965,1
30721,-49,-50,124016,121562,120911,119822,1
30722,-56,-40,137544,138026,131648,132869,1
30724,-54,-49,145616,145558,143393,142494,1
30725,-37,-54,136514,136306,134844,133916,1
30726,-54,-43,148122,146876,145111,144002,1
30727,-28,-29,133920,133566,131967,131485,1
30728,-46,-46,138590,135800,136045,132973,1
30729,-47,-36,147924,150130,143632,141181,1
30730,-46,-51,144220,144328,141433,141484,1
30731,-85,-79,149108,144562,144692,140675,1
30732,-24,-29,128412,129012,126498,126971,1
30733,-17,-14,150146,148274,149263,147395,1
30734,-25,-23,145166,146746,143191,143842,1
30735,-64,-58,156722,158266,153080,155268,1
30736,-64,-56,159070,157352,155348,153498,1
30737,-63,-79,138934,139218,133662,132644,1
30738,-46,-41,135306,134552,132946,132139,1
30739,-76,-78,144712,144422,141369,140538,1
30740,-40,-49,137598,138108,135710,136231,1
30741,-44,-43,147930,148370,145929,145807,1
30742,-80,-78,158742,160204,155412,157347,1
30743,-57,-62,123218,126016,120777,120343,1
30744,-48,-48,147050,145452,143439,141152,1
30747,-44,-50,141118,141360,139127,138917,1
30748,-46,-30,145122,141772,142363,139603,1
30749,-42,-30,147626,147762,139087,140551,1
30751,-71,-75,152246,152646,148086,148838,1
30753,-60,-41,152594,160852,147358,149416,1
30754,-47,-53,156860,156366,153752,154189,1
30755,-57,-74,162176,164680,158581,160674,1
30756,-61,-45,130882,132530,127569,129231,1
30757,-62,-73,169430,168724,165950,165824,1
30758,-77,-78,163920,165092,160511,160488,1
30759,-67,-63,152706,149776,149271,146636,1
30761,-67,-75,148744,145812,137363,138984,1
30762,-71,-87,161292,161296,158791,156477,1
30763,-44,-55,144802,146548,142250,142958,1
30764,-36,-29,137502,135720,135153,133039,1
30765,-39,-41,138286,139448,135200,134996,1
30766,-37,-54,147318,147730,144540,145607,1
30767,-54,-50,133342,133466,131569,131961,1
30768,-36,-29,143992,144410,142328,142557,1
30770,-58,-44,159160,149772,146023,145951,1
30772,-48,-64,139002,136964,135111,134617,1
30773,-72,-87,157818,157144,154715,152688,1
30774,-47,-60,158590,159366,154659,154369,1
30775,-66,-63,187658,185076,175095,176096,1
30776,-57,-47,146094,144592,143315,142739,1
30777,-49,-54,127626,134498,125496,127258,1
30778,-30,-34,121822,121912,120291,119391,1
30779,-27,-40,119064,120234,117766,118377,1
30780,-49,-44,152584,152304,150159,149902,1
30781,-54,-36,135746,134312,131663,131994,1
30782,-42,-41,152178,151730,149521,149151,1
30783,-47,-60,138456,138140,136137,136252,1
30785,-51,-45,139706,142122,137827,139898,1
30786,-49,-73,154542,154374,141354,144881,1
30787,-55,-46,124670,123902,122119,121651,1
30788,-54,-56,169772,177520,167454,171307,1
30789,-55,-53,140200,146390,135212,134379,1
30791,-57,-54,177262,175664,168553,167423,1
30792,-52,-65,122394,123510,119893,120115,1
30793,-90,-71,162046,161516,153529,155056,1
30794,-68,-60,174622,176914,168975,171785,1
30795,-70,-44,133302,133678,131176,130970,1
30796,-55,-37,144418,145556,139812,141492,1
30797,-60,-87,163380,160940,150337,148587,1
30798,-65,-72,162064,163222,159240,159836,1
30799,-89,-84,161522,158902,151937,152812,1
30800,-45,-39,147386,147426,145068,145714,1
30801,-97,-69,146352,147894,141887,145355,1
30803,-77,-73,152580,159236,149706,151831,1
30804,NaN,NaN,167498,167498,NaN,NaN,3
30805,-47,-44,140570,138658,138273,136469,1
30807,-65,-69,145566,147830,142133,143955,1
30808,-40,-38,148390,149978,146646,147581,1
30809,-56,-49,164160,160690,156885,158107,1
30810,-53,-35,123428,123278,121269,121875,1
30812,-57,-67,124828,125264,121478,121838,1
30813,-61,-66,142860,142556,137880,137863,1
30814,-54,-56,141432,142698,139265,138984,1
30815,-36,-30,149632,151118,146848,147691,1
30816,-86,-71,140796,142376,136518,137342,1
30817,-58,-49,145406,144822,143538,142734,1
30818,-101,-112,153670,156640,149041,150515,1
30819,-26,-37,143894,144842,141799,141661,1
30820,-55,-42,146080,146424,141730,143982,1
30821,-62,-47,146000,146186,142107,143563,1
30822,-57,-50,140996,139460,138234,136156,1
30823,-47,-36,133846,132870,131118,131320,1
30824,-42,-48,146668,144216,143504,141084,1
30825,-50,-47,142772,142912,141024,140883,1
30826,-75,-111,141426,145878,137427,141058,1
30827,-68,-54,175824,174542,171860,171801,1
30828,-31,-39,153482,155958,150911,153533,1
30830,-47,-42,151396,152792,148908,150465,1
30831,-39,-60,151152,149910,144696,145694,1
30832,-70,-61,146962,147080,142363,142214,1
30833,-49,-48,142002,142422,139070,139770,1
30834,-46,-45,175906,183606,173198,171980,1
30835,-61,-62,138358,138068,134923,134316,1
30836,-70,-79,132572,138466,129176,130179,1
30837,-39,-45,136930,139988,134461,136963,1
30838,-61,-76,166178,167618,162211,163685,1
30839,-45,-63,128242,128836,126278,127245,1
30840,-61,-46,143132,142688,140037,139992,1
30841,-47,-41,132004,139134,129925,130072,1
30842,-44,-38,153026,152934,150341,151217,1
30843,-68,-68,156578,157692,150721,151264,1
30844,-63,-72,147002,153756,143920,146464,1
30845,-52,-56,148446,149898,145981,147696,1
30846,-20,-24,146140,146214,144170,143987,1
30847,-49,-67,163994,161516,151802,151191,1
30848,-115,-97,160488,156894,148273,147641,1
30849,-63,-46,131640,134078,127908,131203,1
30850,-46,-50,125424,126232,123766,123828,1
30851,-41,-48,145212,147026,142776,144706,1
30852,-70,-52,145586,144544,142435,141539,1
30853,-52,-56,141580,145910,137211,139126,1
30854,-56,-61,133800,134410,131216,131742,1
30855,-35,-46,128538,127444,126961,125926,1
30856,-35,-47,151372,151576,149594,149018,1
30857,-29,-34,133900,132640,132037,130877,1
30858,-68,-76,125950,127036,123692,123834,1
30860,-119,-113,159606,160580,150607,152486,1
30861,-38,-47,129108,128554,127234,125286,1
30862,-56,-42,151020,152148,146731,148957,1
30863,-63,-75,144438,147332,141629,144653,1
30864,-43,-48,150586,152236,147698,150634,1
30865,-45,-54,130116,129868,127623,127504,1
30866,-61,-53,146630,150226,142017,142170,1
30867,-58,-71,142676,144742,137500,140132,1
30868,-98,-89,147276,143456,143012,139744,1
30869,-58,-62,152074,151428,146491,145573,1
30870,-35,-35,149034,148244,146780,144975,1
30871,-71,-64,142464,146264,138728,137029,1
30872,-67,-55,143822,144746,141131,142573,1
30873,-48,-43,155900,155200,144112,146397,1
30874,-59,-48,130944,130610,128382,128315,1
30875,-51,-47,151608,152622,145182,146168,1
30876,-43,-45,128986,130214,127423,128007,1
30877,-38,-47,136868,139412,131764,131651,1
30878,-124,-110,178900,176914,171772,170473,1
30879,-68,-67,168784,170590,163154,162777,1
30880,-71,-82,149894,149732,146169,146117,1
30881,-54,-61,139770,141722,137923,137909,1
30882,-66,-60,140912,138320,137053,135507,1
30883,-49,-55,143150,142452,140882,139930,1
30884,-80,-58,172542,170468,165489,165484,1
30885,-65,-75,136314,140448,132742,134147,1
30886,-68,-49,145210,145338,142076,142933,1
30887,-60,-50,142196,140990,139163,139048,1
30888,-60,-56,132508,133476,128013,129831,1
30889,-41,-50,143938,143090,140254,140953,1
30890,-50,-52,130662,130306,128563,128016,1
30891,-52,-40,140762,138886,137386,137238,1
30892,-38,-35,132230,132460,130570,130870,1
30893,-46,-38,152540,153088,149395,150880,1
30894,-56,-66,142314,143696,138299,140194,1
30895,-48,-48,138030,135544,134799,132995,1
30896,-81,-95,165828,165012,161870,159780,1
30897,-65,-85,156710,158340,149921,150529,1
30898,-65,-64,130292,133074,127201,130199,1
30899,-69,-59,140204,137986,135974,133907,1
30900,-109,-93,162390,161090,157004,156678,1
30901,-70,-78,145244,144780,141567,141904,1
30902,-104,-95,155738,152376,150971,147215,1
30903,-64,-72,140190,141842,135428,136017,1
30904,-104,-116,168026,163034,148714,150871,1
30905,-65,-50,150834,151480,146441,149304,1
30906,-71,-50,159904,160432,154737,154457,1
30908,-61,-61,138004,137580,135062,134553,1
30909,-53,-51,128098,129184,126046,127272,1
30910,-64,-69,142060,141652,138457,137121,1
30911,-33,-55,165358,165462,163108,162483,1
30912,-43,-60,154270,154082,150035,151595,1
30913,-69,-67,143836,143340,140960,139800,1
30914,-54,-51,173082,172986,169077,168932,1
30915,-78,-77,155594,157784,147980,149904,1
30917,-49,-40,161026,160496,155209,152971,1
30919,-65,-73,160314,160798,157078,156719,1
30920,-78,-85,151466,153116,146434,148333,1
30921,-31,-36,169710,168960,166613,166537,1
30922,-45,-57,150048,153488,147210,149770,1
30923,-65,-54,174538,173596,162656,163929,1
